,accuracy,loss,val_accuracy,val_loss
0,0.255401,1.513321,0.317259,1.350791
1,0.320906,1.40523,0.350254,1.317411
2,0.380488,1.316474,0.35533,1.287745
3,0.426132,1.24899,0.406091,1.258868
4,0.47108,1.189151,0.428934,1.235446
5,0.493728,1.138967,0.451777,1.217835
6,0.537979,1.080273,0.461929,1.203459
7,0.551916,1.049249,0.474619,1.193737
8,0.583624,1.013485,0.479695,1.188955
9,0.595122,0.986417,0.489848,1.181163
10,0.628571,0.941276,0.510152,1.178844
11,0.626481,0.922269,0.522843,1.182214
12,0.642509,0.899033,0.530457,1.179729
13,0.647735,0.878038,0.532995,1.183137
14,0.665505,0.854088,0.527919,1.185888
15,0.672125,0.842171,0.530457,1.18741
